district_name,district_code,mandal_name,mandal_code,secretariat_code,secretariat_name,latitude,longitude,unit,gen_name
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490858,GONDOLU,17.4509184,82.0644112,Gondolu,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490857,GAVARAYYAPETA,17.4612711,82.1112605,Gavarayyapeta,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490860,KIMMURU,17.349884772438443,82.12751579495826,Kimmuru,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490868,ADDATEEGALA2,17.480297,82.023781,Addateegala-2,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490856,DUCHARTHI,17.5844307,82.0572401,Ducharthi,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490853,D.BHEEMAVARAM,17.514833,82.043215,D.Bheemavaram,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490867,YELLAVARAM,17.4283337,82.0316727,Yellavaram,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490852,ADDATEEGALA1,17.4800002,82.0240181,Addateegala-1,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490865,VEERAVARAM,17.6146982,82.0208583,Veeravaram,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490859,GONTUVANIPALEM,17.349479,82.117045,Gontuvanipalem,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490854,D.RAMAVARAM,17.5606618,82.0528564,D.Ramavaram,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490861,KONALOVA,17.4444225,82.0884484,Konalova,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490866,VETAMAMIDI,17.477717,81.999546,Vetamamidi,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490863,THIMMAPURAM,17.380505,82.052902,Thimmapuram,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490855,DHANYAMPALEM,17.5227757,81.9551375,Dhanyampalem,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490864,THUNGAMADUGULA,17.53907,82.010059,Thungamadugula,Grama Sachivalayam
ALLURI SITHARAMA RAJU,745,ADDATEEGALA (R),4887,10490862,RAYAPALLI,17.574372,82.0089403,Rayapalli,Grama Sachivalayam
